Name,PROVINCE,DISTRICT,COSTITUENCY,DIVISION,LOCATION,SUBLOCATIO,Level,Status,Sponsor,Longitude,Latitude,# Classrooms
ST. JOSEPH OF TARBES SEC SCH,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,MAKENGI,SECONDARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,37.50123,-0.45431,1
ST. JOSEPH OLASHAPAI ECD,RIFT VALLEY,NAROK,NAROK SOUTH,OLOLUNGA,OLASHAPANI,OLOSHAPANI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,35.65711,-0.90513,
ST. JOSEPH POLY,CENTRAL,NYERI,,KIENI WEST,MWEIGA,KAMATONGU,YOUTH POLYTECHNIC,PRIVATE,,36.91093,-0.31846,0
ST. JOSEPH PRE PRI SCH,RIFT VALLEY,LAIKIPIA,LAIKIPIA WEST,RUMURUTI,SALAAMA,LORIEN,ECD/PRE-PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,36.47094,0.17249,
ST. JOSEPH PRE-SCHOOL,COAST,TAITA TAVETA,MWATATE,MWATATE,KIDAYA NGERENYI,KIDAYA NGERENYI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.33701,-3.42597,1
ST. JOSEPH PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,NJUKINI,CHUMVINI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.71331,-3.20704,1
ST. JOSEPH PRE-SCHOOL,COAST,TAITA TAVETA,TAVETA,TAVETA,KIMORIGO,KIMORIGO,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,37.68293,-3.47693,2
ST. JOSEPH PRI SCH,EASTERN,EMBU,RUNYENJES,NEMBURE,MAKENGI,KEVOTE,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.51849,-0.43056,12
ST. JOSEPH PRIMARY,COAST,TAITA TAVETA,MWATATE,MWATATE,KIDAYA NGERENYI,KIDAYA NGERENYI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,38.33701,-3.42597,14
ST. JOSEPH PRIMARY- EMMAUS,COAST,TANA RIVER,GALOLE,GALORE,MIKINDUNI,MIKINDUNI,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,40.04112,-1.53819,0
ST. JOSEPH ROMAN ECD,WESTERN,KAKAMEGA,LURAMBI,NAVAKHOLO,NAMBACHA,SIRIGOI,ECD/PRE-PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.72099,0.37600,0
ST. JOSEPH ROMAN PRY,WESTERN,KAKAMEGA,LURAMBI,NAVAKHOLO,NAMBACHA,SIRIGOI,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,34.72099,0.37600,0
ST. JOSEPH RONGAI ECD,RIFT VALLEY,NAKURU,RONGAI,RONGAI,BOROR,BOROR,ECD/PRE-PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,35.84324,-0.21290,
ST. JOSEPH SEC IKAASU,EASTERN,MAKUENI,MAKUENI,KATHONZWENI,KATHONZWENI,ITUKA,SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.73262,-1.96474,4
ST. JOSEPH SEC SCH,EASTERN,MWINGI,MWINGI NORTH,CENTRAL,MWINGI,KYANIKA,SECONDARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,38.06072,-0.92221,8
ST. JOSEPH SEC SCH MURUATETU,EASTERN,EMBU,MANYATTA,NEMBURE,GATUR SOUTH,NEMBURE,PRIMARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,37.49817,-0.46722,8
